,Rule_ID,Onset_Duration,ALSFRS_Total_Unified_median,FVC_slope,Weight_slope,Q1_Speech_min,Outcome,Outcome_Raw,Support
1,4,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,SLOW,-0.4588,1845
2,9,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,-0.9311,408
3,3,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,-0.5497,366
4,6,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,-0.7589,284
5,8,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,-0.7907,243
6,2,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,SLOW,-0.325,151
7,7,HIGH,LOW,LOW,LOW,MEDIUM,MEDIUM,-0.6358,120
8,1,MEDIUM,LOW,LOW,MEDIUM,LOW,MEDIUM,-0.8826,114
9,10,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,FAST,-1.2822,87
10,5,MEDIUM,LOW,HIGH,HIGH,MEDIUM,MEDIUM,-0.9569,69
